Ticker,TrendFilter,MinReturnFilter,MomentumFilter,VolumeScore,final_score,rank
ALV.DE,1.0,1.0,-15.0,0.7898,0.9090909090909091,1.0
DBK.DE,1.0,1.0,-16.0,0.7176,0.7636363636363637,2.0
BAYN.DE,1.0,1.0,-7.0,0.5767,0.7272727272727272,3.0
BNR.DE,1.0,1.0,-20.0,0.6518,0.6181818181818182,4.0
RWE.DE,1.0,1.0,-22.0,0.6966,0.609090909090909,5.0
HNR1.DE,1.0,1.0,-33.0,0.8662,0.49090909090909085,6.0
CON.DE,1.0,1.0,-27.0,0.7406,0.47272727272727266,7.0
SY1.DE,1.0,1.0,-25.0,0.6158,0.43181818181818177,8.0
DB1.DE,1.0,1.0,-25.0,0.5793,0.40454545454545454,9.0
HEN3.DE,1.0,1.0,-36.0,0.7462,0.3727272727272727,10.0
