Ticker,TrendFilter,MinReturnFilter,MomentumFilter,VolumeScore,final_score,rank
ALV.DE,1.0,1.0,-11.0,0.7898,0.9409090909090909,1.0
DBK.DE,1.0,1.0,-20.0,0.7176,0.7,2.0
BAYN.DE,1.0,1.0,-11.0,0.5767,0.6954545454545454,3.0
BNR.DE,1.0,1.0,-18.0,0.6518,0.6818181818181819,4.0
RWE.DE,1.0,1.0,-22.0,0.6966,0.5772727272727273,5.0
SY1.DE,1.0,1.0,-22.0,0.6158,0.4954545454545454,6.0
HNR1.DE,1.0,1.0,-32.0,0.8662,0.49090909090909085,7.0
CON.DE,1.0,1.0,-29.0,0.7406,0.47272727272727266,8.0
DB1.DE,1.0,1.0,-24.0,0.5793,0.37272727272727274,9.0
HEN3.DE,1.0,1.0,-35.0,0.7462,0.3727272727272727,10.0
