Ticker,TrendFilter,High52wFilter,MinReturnFilter,UpDaysFilter,VolumeFilter,MomentumFilter,VolumeScore,final_score,rank
MONQ50.NS,1.0,1.0,1.0,1.0,1.0,0.412540310021372,0.6979,0.7809123475211481,1.0
METAL.NS,1.0,1.0,1.0,1.0,1.0,0.25221672869119266,2.114,0.5135932068754597,2.0
METALIETF.NS,1.0,1.0,1.0,1.0,1.0,0.24642744243206832,1.2802,0.4525613734406636,3.0
AXISGOLD.NS,1.0,1.0,1.0,1.0,1.0,0.20371504513628497,2.5651,0.43404056033245525,4.0
GOLDCASE.NS,1.0,1.0,1.0,1.0,1.0,0.20737285342812495,2.2716,0.42497483553732396,5.0
TATAGOLD.NS,1.0,1.0,1.0,1.0,1.0,0.20168842737321102,2.364,0.4179463587916659,6.0
GOLD1.NS,1.0,1.0,1.0,1.0,1.0,0.2065654095525548,2.0011,0.40750934351894397,7.0
GOLDIETF.NS,1.0,1.0,1.0,1.0,1.0,0.20775170408489152,1.8971,0.40405750963241965,8.0
GOLDBEES.NS,1.0,1.0,1.0,1.0,1.0,0.2049693814679303,1.9515,0.40114993242935154,9.0
GOLDETF.NS,1.0,1.0,1.0,1.0,1.0,0.20705917820530628,1.8595,0.40036462719365346,10.0
