Ticker,TrendFilter,High52wFilter,MinReturnFilter,UpDaysFilter,VolumeFilter,MomentumFilter,VolumeScore,final_score,rank
MONQ50.NS,1.0,1.0,1.0,1.0,1.0,2.31245742367888,0.6979,0.7809123475211481,1.0
METAL.NS,1.0,1.0,1.0,1.0,1.0,1.2674124678437306,2.114,0.46957460222344577,2.0
VAL30IETF.NS,1.0,1.0,1.0,1.0,1.0,0.7844564501957361,4.4714,0.4245666454565802,3.0
METALIETF.NS,1.0,1.0,1.0,1.0,1.0,1.219285552814207,1.2802,0.4030403384093348,4.0
CPSEETF.NS,1.0,1.0,1.0,1.0,1.0,1.1182137007089286,1.4779,0.37645583015361667,5.0
ICICIB22.NS,1.0,1.0,1.0,1.0,1.0,0.7818106792055044,2.7012,0.320793281031541,6.0
MASPTOP50.NS,1.0,1.0,1.0,1.0,1.0,1.0835246198575477,0.7211,0.31945273494803295,7.0
MODEFENCE.NS,1.0,1.0,1.0,1.0,1.0,0.8998537320724469,1.571,0.2996284966150193,8.0
SBIBPB.NS,1.0,1.0,1.0,1.0,1.0,0.4835081312537548,4.1483,0.29247279948118365,9.0
GROWWDEFNC.NS,1.0,1.0,1.0,1.0,1.0,0.9077644048535978,1.3301,0.2886210530317141,10.0
