Ticker,TrendFilter,High52wFilter,MinReturnFilter,UpDaysFilter,VolumeFilter,MomentumFilter,VolumeScore,final_score,rank
MONQ50.NS,1.0,1.0,1.0,1.0,1.0,3.439629683463144,0.6979,0.7809123475211481,1.0
VAL30IETF.NS,1.0,1.0,1.0,1.0,1.0,1.1365331052957988,4.4714,0.4218692067123843,2.0
CPSEETF.NS,1.0,1.0,1.0,1.0,1.0,1.7579629878755347,1.4779,0.40406134111359443,3.0
MASPTOP50.NS,1.0,1.0,1.0,1.0,1.0,1.9230707704345176,0.7211,0.40156777814494593,4.0
METAL.NS,1.0,1.0,1.0,1.0,1.0,1.4009161126678227,2.114,0.35136594302891905,5.0
MODEFENCE.NS,1.0,1.0,1.0,1.0,1.0,1.4189053863487397,1.571,0.32435534191803755,6.0
METALIETF.NS,1.0,1.0,1.0,1.0,1.0,1.4210710567593863,1.2802,0.3080152629889526,7.0
GROWWDEFNC.NS,1.0,1.0,1.0,1.0,1.0,1.3941754539883942,1.3301,0.3041610120691646,8.0
ICICIB22.NS,1.0,1.0,1.0,1.0,1.0,1.0770470181247376,2.7012,0.3041598281243245,9.0
SBIBPB.NS,1.0,1.0,1.0,1.0,1.0,0.6747712191312953,4.1483,0.2871972007692236,10.0
