Ticker,TrendFilter,MinReturnFilter,MomentumFilter,VolumeScore,final_score,rank
MOALPHA50.NS,1.0,1.0,-69.0,14.4329,0.9296874999999999,1.0
MIDSELIETF.NS,1.0,1.0,-68.0,0.8646,0.8796875,2.0
MAFANG.NS,1.0,1.0,-43.0,0.65,0.8531249999999999,3.0
MOMGF.NS,1.0,1.0,-103.0,11.9359,0.8374999999999999,4.0
PHARMABEES.NS,1.0,1.0,-54.0,0.6749,0.8359374999999999,5.0
HDFCSML250.NS,1.0,1.0,-74.0,0.785,0.8226562499999999,6.0
MOHEALTH.NS,1.0,1.0,-61.0,0.5815,0.7875,7.0
HEALTHIETF.NS,1.0,1.0,-84.0,0.8515,0.7874999999999999,8.0
GROWWDEFNC.NS,1.0,1.0,-46.0,0.5226,0.78125,9.0
MOSMALL250.NS,1.0,1.0,-82.0,0.7773,0.7796875,10.0
