Ticker,TrendFilter,MinReturnFilter,MomentumFilter,VolumeScore,final_score,rank
MOALPHA50.NS,1.0,1.0,-79.0,14.4329,0.8749999999999999,1.0
PHARMABEES.NS,1.0,1.0,-24.0,0.6749,0.8687499999999999,2.0
MIDSELIETF.NS,1.0,1.0,-70.0,0.8646,0.8578125,3.0
MAFANG.NS,1.0,1.0,-38.0,0.65,0.8531249999999999,4.0
HEALTHIETF.NS,1.0,1.0,-71.0,0.8515,0.8421874999999999,5.0
MOMGF.NS,1.0,1.0,-100.0,11.9359,0.8374999999999999,6.0
MOHEALTH.NS,1.0,1.0,-41.0,0.5815,0.809375,7.0
HDFCSML250.NS,1.0,1.0,-78.0,0.785,0.8062499999999999,8.0
MOSMALL250.NS,1.0,1.0,-86.0,0.7773,0.7796875,9.0
QGOLDHALF.NS,1.0,1.0,-107.0,0.9956,0.7687499999999999,10.0
