Ticker,TrendFilter,MinReturnFilter,MomentumFilter,VolumeScore,final_score,rank
MOALPHA50.NS,1.0,1.0,-71.0,14.4329,0.896875,1.0
HDFCLIQUID.NS,1.0,1.0,-66.0,1.2955,0.8921874999999999,2.0
HEALTHIETF.NS,1.0,1.0,-57.0,0.8515,0.875,3.0
PHARMABEES.NS,1.0,1.0,-8.0,0.6749,0.8687499999999999,4.0
MAFANG.NS,1.0,1.0,-25.0,0.65,0.8531249999999999,5.0
MOMGF.NS,1.0,1.0,-101.0,11.9359,0.8265624999999999,6.0
MOHEALTH.NS,1.0,1.0,-43.0,0.5815,0.8039062499999999,7.0
MIDSELIETF.NS,1.0,1.0,-77.0,0.8646,0.803125,8.0
HDFCSML250.NS,1.0,1.0,-73.0,0.785,0.7953124999999999,9.0
GROWWDEFNC.NS,1.0,1.0,-43.0,0.5226,0.77578125,10.0
