Ticker,TrendFilter,High52wFilter,MinReturnFilter,UpDaysFilter,VolumeFilter,MomentumFilter,VolumeScore,final_score,rank
HINDALCO.NS,1.0,1.0,1.0,1.0,1.0,0.33246152059701733,1.4437,0.8362747396269381,1.0
SHRIRAMFIN.NS,1.0,1.0,1.0,1.0,1.0,0.2738234958227769,1.4087,0.6649639264976541,2.0
TATASTEEL.NS,1.0,1.0,1.0,1.0,1.0,0.25388834201105664,1.2384,0.5802003678076175,3.0
SBIN.NS,1.0,1.0,1.0,1.0,1.0,0.19328788005014913,1.9768,0.5328524498373312,4.0
ONGC.NS,1.0,1.0,1.0,1.0,1.0,0.17715911072159274,2.2178,0.5276979022154775,5.0
LT.NS,1.0,1.0,1.0,1.0,1.0,0.13730340531601737,2.4215,0.44935092954768424,6.0
TITAN.NS,1.0,1.0,1.0,1.0,1.0,0.18895083676308938,1.5337,0.44642148556853684,7.0
COALINDIA.NS,1.0,1.0,1.0,1.0,1.0,0.1174129302237247,2.2304,0.361230630599535,8.0
NESTLEIND.NS,1.0,1.0,1.0,1.0,1.0,0.14314218491023506,1.5137,0.3138210722361429,9.0
NTPC.NS,1.0,1.0,1.0,1.0,1.0,0.14787532525406516,1.3462,0.29912926512715454,10.0
