Ticker,TrendFilter,High52wFilter,MinReturnFilter,UpDaysFilter,VolumeFilter,MomentumFilter,VolumeScore,final_score,rank
HINDALCO.NS,1.0,1.0,1.0,1.0,1.0,1.360621864274718,1.4437,0.8362747396269381,1.0
ONGC.NS,1.0,1.0,1.0,1.0,1.0,0.9634602213642179,2.2178,0.6308290494898068,2.0
TATASTEEL.NS,1.0,1.0,1.0,1.0,1.0,1.0708630815972948,1.2384,0.5574456271883146,3.0
NTPC.NS,1.0,1.0,1.0,1.0,1.0,1.0028619307004727,1.3462,0.5181271845866479,4.0
SBIN.NS,1.0,1.0,1.0,1.0,1.0,0.8344943801956596,1.9768,0.48167419197077777,5.0
NESTLEIND.NS,1.0,1.0,1.0,1.0,1.0,0.915427466252863,1.5137,0.47241026576686646,6.0
POWERGRID.NS,1.0,1.0,1.0,1.0,1.0,0.9199419128894044,1.4838,0.47121231995910023,7.0
TITAN.NS,1.0,1.0,1.0,1.0,1.0,0.9063750101600636,1.5337,0.46812206791449296,8.0
LT.NS,1.0,1.0,1.0,1.0,1.0,0.6608826734474327,2.4215,0.40966944231160873,9.0
SHRIRAMFIN.NS,1.0,1.0,1.0,1.0,1.0,0.7880796341552092,1.4087,0.34739260915868003,10.0
