Ticker,TrendFilter,High52wFilter,MinReturnFilter,UpDaysFilter,VolumeFilter,MomentumFilter,VolumeScore,final_score,rank
NESTLEIND.NS,1.0,1.0,1.0,1.0,1.0,2.3405528554440567,1.5137,0.8479957134724222,1.0
POWERGRID.NS,1.0,1.0,1.0,1.0,1.0,2.1335014376948016,1.4838,0.7551596550410999,2.0
NTPC.NS,1.0,1.0,1.0,1.0,1.0,2.035190907067022,1.3462,0.6904170414385784,3.0
ONGC.NS,1.0,1.0,1.0,1.0,1.0,1.5833329948585364,2.2178,0.6446854571056716,4.0
HINDALCO.NS,1.0,1.0,1.0,1.0,1.0,1.7563389848766806,1.4437,0.5884559651278899,5.0
LT.NS,1.0,1.0,1.0,1.0,1.0,1.3200098754662577,2.4215,0.5670939644481833,6.0
SBIN.NS,1.0,1.0,1.0,1.0,1.0,1.231775869407588,1.9768,0.4552041439652981,7.0
TITAN.NS,1.0,1.0,1.0,1.0,1.0,1.4065482199169368,1.5337,0.4551473897889591,8.0
TATASTEEL.NS,1.0,1.0,1.0,1.0,1.0,1.4051460335802894,1.2384,0.4051068283645045,9.0
SHRIRAMFIN.NS,1.0,1.0,1.0,1.0,1.0,1.2401252632484232,1.4087,0.36362181407549055,10.0
